run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch
10,1001000,0.3408664657000574,0.0625630937715434,2.783247682384387,0.4109024635724635,0.43,1170,0.0480312375407894,-0.1729933552632701,0.182051282051282,12.33,1.6390999744885713,0.1113246066397318,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
11,1101000,0.3388469500019473,0.0598168943929014,2.714534610423728,0.3757759811890176,0.38,1069,-0.0187700608969777,0.0077444605352525,0.1534144059869036,10.705,1.593579911071718,0.1139383731133632,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
12,1201000,0.3556405863542106,0.0723788217677431,2.854468088381336,0.353947474734014,0.33,1108,-0.0583882608021247,0.0346463153973101,0.1083032490974729,9.855,1.6168106878462631,0.1339387466910449,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
14,1401000,0.3336083257675779,0.0506243002300318,2.910594149851893,0.3694646207449598,0.35,1175,-0.1722865990883193,-0.2003997166867287,0.1208510638297872,10.745,1.777236709021076,0.0903627016490896,1.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120
5,501000,0.3128156287297178,0.0632173544839403,2.9899156228594346,0.3411436382728424,0.3,1134,-0.153584583128134,-0.1395628547087473,0.0952380952380952,9.405,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
8,801000,0.296043504293686,0.0574330048868794,2.878110024628969,0.3346366443823382,0.35,1097,0.1070410780675334,0.1813203370059915,0.1093892433910665,10.095,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
9,901000,0.3074667097346779,0.0669014205772287,2.9367838970171687,0.3916433619733693,0.39,1055,0.1001535768925977,-0.0292153625181897,0.157345971563981,10.805,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
2,201000,0.300466341650132,0.0555618121338924,2.8985971256857743,0.3942612977614519,0.41,1106,0.1641762573934152,0.1488108447620883,0.1645569620253164,11.56,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
1,101000,0.308638183910069,0.0550580964049215,2.948783028921776,0.3959610288862308,0.36,1151,0.0425154103778953,0.0544736715233006,0.1103388357949609,10.43,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
4,401000,0.3025650255856925,0.0634323706140273,2.9109087932245665,0.3568731700487811,0.42,1155,0.0224623775164347,-0.0675896421353738,0.1844155844155844,12.735,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
0,1000,0.3050878132516703,0.0511282427591286,2.931087694797083,0.3354685141599705,0.31,1123,-0.1691676295199848,-0.0907902464722947,0.0854853072128228,9.105,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
6,601000,0.3026145659731364,0.0607140184327589,2.919653379450708,0.3736360514615519,0.39,1133,0.0540330663453878,-0.0945802135301851,0.1588702559576346,11.565,2.0,0.0,2.0,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120
