run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_climate,avg_degree,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,base_prob
21,2101000,0.2944691782897817,0.0757287340397235,3.543890570721798,0.3387140918135807,0.37,141,-0.2125262969290964,-0.043448875231206,0.1631205673758865,1.435,2.694683098221638,0.8429177285302512,0.0176771917661807,0.3165522813273356,2.82,0.5657542728199167,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
17,1701000,0.2945361058252846,0.0841919020219459,3.6489155935524247,0.3327121780104155,0.31,142,-0.1342955158431724,-0.0851082868369093,0.0704225352112676,1.205,2.800400906498993,0.8498037841014622,0.1408896438520881,0.2926836701209346,2.84,0.5542484492055335,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
16,1601000,0.2864146286214402,0.0770684598704271,3.546780820857628,0.3123142142589638,0.3,153,-0.1676233268313226,-0.1977385965047089,0.0392156862745098,1.245,2.7707683679192274,0.8269030489828442,-0.0873451724017916,0.2838089741219659,3.06,0.5904757925742388,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
15,1501000,0.2740577779726372,0.0705379823618523,3.585552946877588,0.3012504801405759,0.29,167,-0.1559071012128901,-0.1939744605705691,0.0538922155688622,1.335,2.902309680712436,0.9141281325369216,0.0758999714708634,0.2802439150587174,3.34,0.6086979956242673,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
20,2001000,0.2794887144452155,0.0661014215474734,3.4834614646472217,0.3377949650303568,0.36,156,-0.0314248602280999,0.0463112234897059,0.1282051282051282,1.45,2.7623874937396,0.8406410023438037,0.0649141579063577,0.3327468378514476,3.12,0.5665208327015486,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
14,1401000,0.2655781670248005,0.0644486306932772,3.7142247355286937,0.3287024712935222,0.33,152,0.0509590381414727,-0.1047073055372235,0.131578947368421,1.33,3.1279286452020245,0.9536558343959254,-0.0435886744838506,0.3107681543862685,3.04,0.60845617852839,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,1.5,3.5,1.0,0.02
5,501000,0.3012564656543307,0.0706709753902421,3.3064825308089847,0.3566034807890158,0.31,371,0.0908557021054984,-0.0839775203489194,0.091644204851752,3.08,2.397299662386253,0.567501400002231,-0.1101972819325875,0.1827697838179152,7.42,0.567501400002231,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.05
8,801000,0.2819976490361988,0.0745933506902228,3.323405742754558,0.3163020440875396,0.35,351,-0.0790044520921067,0.0941911257652067,0.0997150997150997,3.19,2.5923046925232427,0.5641453579122263,-0.0278674178221668,0.1879357142101329,7.02,0.5641453579122263,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.05
0,1000,0.27512307581653,0.0523737398469333,3.280388896980107,0.3364866812497096,0.33,382,0.2480747627067208,0.040896253290676,0.112565445026178,3.44,2.561459854608409,0.5310412270497411,0.0105980153126058,0.165719361954353,7.64,0.5310412270497411,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.05
9,901000,0.2914129521723358,0.0653168924264522,3.25195910058013,0.3565596155272054,0.36,365,-0.1283991226815368,-0.0666483321681212,0.1287671232876712,3.37,2.415823453666981,0.580921017217269,-0.0250888970506869,0.1688066793723867,7.3,0.580921017217269,2.5,800,0.2,0.02,0.01,0.05,0.1,0.0,10,120,1.5,3.5,1.0,0.05
