eta_s,delta_pi,run_id,internal_cooperation,std_between_communities,mean_payoff
0.05,0.1,2,0.15018213413582898,0.040509424865410135,1.6058230058883118
0.05,0.1,4,0.15545364894158087,0.04428252839794362,1.6430908738572492
0.05,0.1,6,0.14765066108358915,0.03698589123292439,1.5715006944416734
0.05,0.1,8,0.1559023522200101,0.041711344831446874,1.6530954996088354
0.05,0.1,9,0.15245813094907815,0.0395310400369783,1.605582854264383
0.05,0.1,7,0.15525705215607963,0.036876245536412576,1.6425310227616494
0.05,0.1,10,0.15776867398467392,0.03957182495963368,1.6761038521650768
0.05,0.2,0,0.09099570659669068,0.02923923258701885,1.0113116282940238
0.05,0.2,5,0.085867178979973,0.02591435337063619,0.9579706147546065
0.05,0.2,1,0.08798627937445572,0.028433086857441846,0.9709184558000976
0.05,0.2,2,0.08843968446097586,0.029742821469083292,0.9789753802428399
0.05,0.2,4,0.08283395318809138,0.027766026982824557,0.9161354292675334
0.05,0.2,3,0.08355556717593082,0.026174986582170514,0.9361577404733012
0.05,0.2,8,0.08534774211015121,0.028542268317798967,0.9521015734786238
0.05,0.2,9,0.0878573077581853,0.03139909587759186,0.9729087946111463
0.05,0.2,6,0.08837168886770161,0.02613309414452546,0.9837367175819923
0.05,0.2,7,0.08711310052187089,0.028243602738747726,0.9674518029621848
0.05,0.2,10,0.07916535497245007,0.026283789084190927,0.8817120455804404
0.05,0.35,0,0.04877254911106807,0.01982454252941686,0.5645646819407169
0.05,0.35,1,0.04803548665458027,0.01909474998750324,0.5540789743449699
0.05,0.35,5,0.04756480228301652,0.0219322978478107,0.5455818691521567
0.05,0.35,2,0.049148159543144984,0.021229251575015387,0.5597468447814038
0.05,0.35,3,0.05073354563265223,0.021719400687857677,0.5834495523227866
0.05,0.35,4,0.05136940923618918,0.022805446038878543,0.5817430380797172
0.05,0.35,8,0.04456262579991232,0.018881452370094406,0.5118909802589419
0.05,0.35,6,0.0517908442790705,0.020485336669885307,0.5925220313182326
0.05,0.35,9,0.04792681821265022,0.02000615947372141,0.5502589932946005
0.05,0.35,7,0.048327810323231656,0.021858114548965437,0.5544787221637878
