run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,mean_b_eff,std_b_eff,corr_climate_cooperation,std_b_base,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,spread,het_b_lo,het_b_hi
9,901000,0.2647138394948096,0.0560068553967951,3.236111121379808,0.3782444375900072,0.41,1055,0.1470915111876572,-0.0363423062424457,0.1781990521327014,11.5,2.6138299450860587,0.0824799962867749,-0.1312090122932216,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
3,301000,0.2663629284900798,0.05934831622282,3.3259317372911927,0.3208121201084602,0.43,1150,-0.0072707593205023,-0.047368085428829,0.1704347826086956,12.5,2.6715394095392413,0.0865423420561158,-0.1422380359003463,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
1,101000,0.2786485479878474,0.0672201023147695,3.3731502861227,0.3338757468141818,0.36,1151,-0.1940169802110884,-0.072218867086073,0.1207645525629887,10.505,2.6259530203702166,0.0870044722780368,0.022898442984711,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
4,401000,0.2725017401393174,0.0555892016438348,3.3645272885112263,0.3550136754777929,0.44,1155,-0.1340702665357816,-0.1789575636806305,0.1948051948051948,13.215,2.688043710956688,0.0880380944225771,-0.0761402875161404,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
2,201000,0.266586510281115,0.054672898621594,3.277393768607447,0.3407614011704504,0.31,1106,-0.0753869881413646,-0.1513319489572203,0.0867992766726944,9.0,2.6058679472596373,0.0908844001268611,0.0109064062180296,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
7,701000,0.2670148818961703,0.0552310119778502,3.4238300749531203,0.3476891277069038,0.4,1098,-0.2512811743859044,0.1138635753949193,0.1520947176684881,11.425,2.754075814886834,0.0968604864051988,0.0065444040155109,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
10,1001000,0.257897531221366,0.0511914332583395,3.2616235276430348,0.3309908142349778,0.33,1170,0.1282517002082429,0.0986962165036155,0.1076923076923077,10.14,2.7071898194653543,0.084707553560646,0.1931037441478124,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
6,601000,0.2647384645099003,0.0450719348021403,3.32924971569696,0.3320161298570045,0.31,1133,0.1070245821677946,0.1295720203122003,0.0962047661076787,9.44,2.6999542223215744,0.0828348826217555,-0.0127268349169371,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.2,10,120,0.0,,
5,501000,0.2770512699944083,0.0593619190821579,3.437915774488596,0.3441405908650596,0.27,1134,-0.0370344648911427,-0.1926819502281114,0.074074074074074,8.625,2.684959412421882,0.1678055549455273,-0.0109274962074311,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
8,801000,0.2636878035846152,0.0555192414617244,3.234450094029307,0.3506436628400514,0.36,1097,-0.0271083674600869,0.051744852878076,0.121239744758432,10.295,2.618194483843825,0.1677324306869021,-0.0840756446918875,0.0,2.5,800,0.2,0.02,0.01,0.05,0.1,0.4,10,120,0.0,,
