run_id,seed,Tin,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
16,58,50,1.01,0.04,0.32791115619303113,0.05404755763408265,1.9707444889403778,0.336376100600068
17,59,50,1.01,0.04,0.3489451198834798,0.12313556420198925,2.0952071991442134,0.7364832407266567
18,60,50,1.01,0.04,0.41679407813282054,0.0755171541179784,2.5222644930908626,0.4769190372048198
19,61,50,1.01,0.04,0.33068083124968156,0.0911864467911744,1.9755501430852256,0.5357278127436469
20,62,50,1.01,0.04,0.3215293965293965,0.14157975820079363,1.9562676860176862,0.8359006059387413
21,63,50,1.01,0.04,0.34957165618357544,0.11659391563444609,2.114219363129574,0.6949081318330644
22,64,50,1.01,0.04,0.3462238545672939,0.08888145427642545,2.089527909635841,0.5469187362563264
23,65,50,1.01,0.04,0.34895399972078744,0.0941730950415898,2.1268063625575873,0.5703539459818013
24,66,50,1.01,0.04,0.3276589302246972,0.0691334447726896,1.9540021086900452,0.401033161016283
25,67,50,1.01,0.04,0.41287545207864873,0.06844624689790778,2.496092724019136,0.4334533342917889
26,68,50,1.01,0.04,0.3458251484057936,0.07902332151075131,2.1115604612185255,0.4852378796773214
27,69,50,1.01,0.04,0.3990053139039957,0.07803779038265506,2.4206771170950034,0.4919352066810674
28,70,50,1.01,0.04,0.3657094594688801,0.11392735386562895,2.1842508493808053,0.6646860524482516
29,71,50,1.01,0.04,0.28511289432948417,0.07861454674279526,1.7393990262741172,0.4777341075803124
30,72,50,1.01,0.04,0.32150709849157055,0.03293623011312534,1.919862385388938,0.21539783955781872
31,73,50,1.01,0.04,0.34276268433043056,0.08162257458922684,2.040594145488792,0.45835238821257923
32,74,50,1.01,0.04,0.341978187837772,0.07034910748011683,2.0705838404985637,0.4353791335045056
33,75,50,1.01,0.04,0.4375775065891925,0.032469040499336646,2.638786046441405,0.23018002493038445
34,76,50,1.01,0.04,0.39494960894960895,0.09276938082494628,2.373601637461637,0.5588469713434854
35,77,50,1.01,0.04,0.29114383596666155,0.08643073385872684,1.750998716178744,0.5115726397262228
36,78,50,1.01,0.04,0.35100030312620145,0.0899658270486747,2.1152332385196955,0.5329304494078015
37,79,50,1.01,0.04,0.4418429102344197,0.11313018541464878,2.6653536370407145,0.655508496450785
