run_id,seed,b,social_adaptation_rate,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,final_std_payoff_between_communities
18,60,1.2,0.03,0.2584101812093698,0.06285966378962894,1.7547982402992546,0.3934886368369015
19,61,1.2,0.03,0.2608823638485734,0.05894580118385789,1.778354395032873,0.38484249933762615
20,62,1.2,0.03,0.2466499549832883,0.07147631797000559,1.6448946115612777,0.48260792230424265
21,63,1.2,0.03,0.24304196042859366,0.08085967605761663,1.6524043246825197,0.5095064372539891
22,64,1.2,0.03,0.22108208308790406,0.07591092606575316,1.552906690689858,0.5203352330150339
23,65,1.2,0.03,0.3306641770208013,0.10510915648209349,2.2006165014658663,0.6879807104001662
24,66,1.2,0.03,0.2891676160110155,0.09016947830693525,1.9699002052725993,0.49108266851172233
25,67,1.2,0.03,0.3042274148105767,0.08823033532920312,2.0964021659970387,0.5767950379149829
26,68,1.2,0.03,0.21095771418352066,0.06233450012082453,1.4132828984441885,0.39816052853023715
27,69,1.2,0.03,0.2577483993124502,0.09307397133993137,1.7388626627123807,0.5712628086788277
28,70,1.2,0.03,0.25420068180237104,0.12477396358595143,1.707822310654204,0.7726466017604774
29,71,1.2,0.03,0.2610878610150985,0.06194208218543532,1.7385524466290896,0.4325001791851362
0,42,1.2,0.05,0.3018331753982221,0.058029781871107494,2.052288254140156,0.3809618323063366
1,43,1.2,0.05,0.2532509339067216,0.056460521536663553,1.7710008157263915,0.4121430185400431
2,44,1.2,0.05,0.2650230960471924,0.14226849101424355,1.7826884093149153,0.9481600850174388
3,45,1.2,0.05,0.24525519497297998,0.07341676498304081,1.6446348973968692,0.4924593145599678
4,46,1.2,0.05,0.3176873170905803,0.09125111437508748,2.1217384020557235,0.5973982821344413
5,47,1.2,0.05,0.2451787469271685,0.1242022400327807,1.6583849737225163,0.8498353556169586
6,48,1.2,0.05,0.2793623188405797,0.08219690819800951,1.8629391304347827,0.5203432952562239
7,49,1.2,0.05,0.33168649345594314,0.09294300848341137,2.20318839098915,0.6075254630709915
8,50,1.2,0.05,0.34124788402767525,0.04332119510450759,2.2547922528588504,0.30007097876891115
9,51,1.2,0.05,0.28126132284283706,0.09848366634888987,1.8952526969955357,0.6553597034085676
10,52,1.2,0.05,0.27359961815773615,0.058625296622892634,1.834693251055311,0.354577905216504
11,53,1.2,0.05,0.3427178480434294,0.0794636529948869,2.259261482703343,0.4783627113394544
12,54,1.2,0.05,0.34198531005951194,0.08473665317685496,2.2846598615074885,0.5714170393755852
13,55,1.2,0.05,0.23170002868897752,0.047008514786192404,1.575432738123545,0.3261046417620828
14,56,1.2,0.05,0.23584115025320473,0.05420284338479661,1.5936090077410276,0.35077100092155655
15,57,1.2,0.05,0.29172727776138413,0.054888840314986226,1.9392923682767116,0.33807008457511545
16,58,1.2,0.05,0.21161905230694225,0.05468979833618137,1.4342088820367493,0.3599374199111547
17,59,1.2,0.05,0.25991627145720597,0.07835108660765136,1.7483711453094917,0.5120448436657015
18,60,1.2,0.05,0.24834710477712507,0.07115387355954272,1.6757662279122727,0.475646178260169
19,61,1.2,0.05,0.278338507616152,0.10542519625507255,1.8794914154640856,0.7019162983886493
20,62,1.2,0.05,0.245348478681812,0.06581584750000515,1.6678488178488178,0.4198360298159538
21,63,1.2,0.05,0.2606552574784816,0.047617985061356706,1.7824640507823388,0.28246364888835424
22,64,1.2,0.05,0.2586142776295578,0.09950941892239083,1.7407135349895477,0.6399578090374012
23,65,1.2,0.05,0.29363604634929497,0.08912719005745359,1.990220996789055,0.5928217040371104
24,66,1.2,0.05,0.23596026199946837,0.09164567456316923,1.617916849869556,0.5898452290974048
25,67,1.2,0.05,0.2687932164194231,0.12910922310397782,1.7872129502260852,0.8040260984250559
26,68,1.2,0.05,0.23426848652655105,0.06587750783495545,1.5976174967142707,0.41052148923729787
27,69,1.2,0.05,0.2733629912993484,0.16779719170018087,1.7958080293125842,1.0641058794137626
28,70,1.2,0.05,0.24871690547462225,0.0966398064464652,1.7408351961369994,0.6364851964543453
29,71,1.2,0.05,0.2284451007953312,0.08375752127913677,1.5698838514894784,0.563342113569235
0,42,1.2,0.075,0.294712307406906,0.09499906232743248,2.0136912193091967,0.5665981146342294
1,43,1.2,0.075,0.20962183858538896,0.058610272817818956,1.4312725181991006,0.40519700339337467
2,44,1.2,0.075,0.23780212424790742,0.09364988552196211,1.5891557438545392,0.5771775407994963
3,45,1.2,0.075,0.22249067947158072,0.07145206613758415,1.4864388800261434,0.4436352989074923
4,46,1.2,0.075,0.20114851848326948,0.10620723056678048,1.3409474188457178,0.7133925547057962
5,47,1.2,0.075,0.2760813692091011,0.09104915124390192,1.8195766354775582,0.5642884611115583
6,48,1.2,0.075,0.19512836438923398,0.06574721671061926,1.3395556935817807,0.4238047661301009
7,49,1.2,0.075,0.26804675716440424,0.08782216260454725,1.8163291003746411,0.5749873971797941
8,50,1.2,0.075,0.2543035563482957,0.11579922587827036,1.716339600777087,0.729450314183781
9,51,1.2,0.075,0.23511714717633642,0.09476607389662463,1.6073257401464036,0.6154709956806023
10,52,1.2,0.075,0.2599153893992342,0.03703743944413866,1.7688580198955322,0.21395226552057559
11,53,1.2,0.075,0.2408772467842235,0.07906216242517017,1.640572156525645,0.509984721607402
12,54,1.2,0.075,0.2123496825291476,0.0260753131525666,1.4607298245614035,0.2271374807231882
13,55,1.2,0.075,0.2447675983382145,0.05491461163875898,1.6601583349704054,0.37426463231605295
14,56,1.2,0.075,0.22205922368947578,0.08602976050399506,1.541445356073464,0.5251670103459265
15,57,1.2,0.075,0.24270374099429937,0.09554818193792397,1.6572099463734555,0.5993003859679448
16,58,1.2,0.075,0.2371438298809919,0.07356896081695882,1.589218913545261,0.45510985681209287
17,59,1.2,0.075,0.20169742175232325,0.0387957330078513,1.3832575580631477,0.26240209091303274
18,60,1.2,0.075,0.17063922329642411,0.08065369672704599,1.1749167361824564,0.5773537687704594
19,61,1.2,0.075,0.25506448237445856,0.07338095901115106,1.6994506076551938,0.4612584965746914
20,62,1.2,0.075,0.21024130190796858,0.04969119987337447,1.4534085667418999,0.3325500175233373
21,63,1.2,0.075,0.22166118703355675,0.056916420977983315,1.5047497032506634,0.3763590920100806
22,64,1.2,0.075,0.20157998683344305,0.08787988124328606,1.4027328690389567,0.6193877249209435
23,65,1.2,0.075,0.2487187630880916,0.045417318609223406,1.6746585229652382,0.29948432120546736
24,66,1.2,0.075,0.20444606870950865,0.05950980795460908,1.4140729740483635,0.40742923582502655
25,67,1.2,0.075,0.2640374417831294,0.04093245238738407,1.7848150189913128,0.30997010145081844
26,68,1.2,0.075,0.1738384486771584,0.10370083052173634,1.1701268426429716,0.6620456714442688
27,69,1.2,0.075,0.26648841779952875,0.1163656007283608,1.806660771377477,0.7632083134558414
28,70,1.2,0.075,0.18891425050967423,0.04820650571301531,1.2719694120404594,0.30844160767446316
29,71,1.2,0.075,0.18875266070269708,0.03313482371578359,1.2847308394288748,0.22230379596724414
0,42,1.2,0.1,0.2596079699572322,0.08196807278251085,1.754914188589564,0.5520720860634144
1,43,1.2,0.1,0.20222900001731783,0.04169462351682871,1.3881677694782468,0.26647634324393776
2,44,1.2,0.1,0.2254931815172779,0.09807180231129299,1.5208210129896877,0.5915286432141819
3,45,1.2,0.1,0.21205365036463064,0.058496086940919394,1.4013879562491662,0.4007169857685067
4,46,1.2,0.1,0.16931811368340907,0.06167197000738599,1.1510386431590882,0.4217448069740388
5,47,1.2,0.1,0.1796977733111779,0.057638581058627486,1.2136842183952432,0.34128376390873333
6,48,1.2,0.1,0.19735921325051758,0.029248552340226094,1.3547399585921325,0.20334476367474835
7,49,1.2,0.1,0.1975744416873449,0.10213125554729084,1.3459163625748065,0.6680134781207551
8,50,1.2,0.1,0.2007042132622392,0.061086268421369695,1.3700492029048623,0.37203205575847625
9,51,1.2,0.1,0.2049776121030848,0.05948211154072105,1.3929375063440717,0.40883674500104844
10,52,1.2,0.1,0.2026739856807483,0.07133081670570754,1.3724547547193637,0.44018871411099864
11,53,1.2,0.1,0.23509430104778942,0.07924228460798406,1.5774043321020066,0.5268833248758196
12,54,1.2,0.1,0.21137404039733632,0.06612364761288565,1.4121647220194244,0.4088112326121076
13,55,1.2,0.1,0.2314707268344245,0.12135261054816973,1.5338773671582362,0.7508502167748546
14,56,1.2,0.1,0.23963243228325815,0.11764171395582396,1.6149319424321456,0.728826185267216
15,57,1.2,0.1,0.22770877361320768,0.11291528375249324,1.539055312759332,0.7334139872396889
16,58,1.2,0.1,0.19483111566618208,0.0731486248369229,1.345633330461998,0.4639280111924353
17,59,1.2,0.1,0.1991063161244511,0.07494443624513918,1.3596575912554545,0.4838819938506616
