point,eta_s,delta_pi,round,mean_cooperation,std,n,ci95
cooperativo,0.6,0.02,32,0.4973696173093487,0.007025907988281254,11,0.0041520462902756095
cooperativo,0.6,0.02,33,0.49851173811610094,0.007572475700880454,11,0.004475047167495621
cooperativo,0.6,0.02,34,0.4976395763256386,0.007316146935262333,11,0.004323566547175683
cooperativo,0.6,0.02,35,0.4972716637138868,0.00796008014051828,11,0.004704106753584264
cooperativo,0.6,0.02,36,0.49904697537230464,0.0046495583295291945,11,0.0027477133839130126
cooperativo,0.6,0.02,37,0.4986935287076842,0.004118192295127019,11,0.0024336961244217263
cooperativo,0.6,0.02,38,0.4994699233979063,0.005807775620752507,11,0.0034321760633813266
cooperativo,0.6,0.02,39,0.49791159006293245,0.0050993246636398615,11,0.003013508302114309
cooperativo,0.6,0.02,40,0.4976466950719758,0.0039243400048769314,11,0.002319136741643472
cooperativo,0.6,0.02,41,0.49800191824453355,0.0051549216390007705,11,0.0030463640149535377
cooperativo,0.6,0.02,42,0.4972332832294844,0.0043271680186032875,11,0.00255719288510583
cooperativo,0.6,0.02,43,0.4981710932205376,0.003738203236607801,11,0.0022091369409821494
cooperativo,0.6,0.02,44,0.4987300567968056,0.004558056429359914,11,0.002693639216448151
cooperativo,0.6,0.02,45,0.498690469261218,0.0048860441235084075,11,0.002887467557356789
cooperativo,0.6,0.02,46,0.5003647866365734,0.004157979926165657,11,0.0024572091118004926
cooperativo,0.6,0.02,47,0.4991948308765426,0.0038676883473689884,11,0.0022856577514850256
cooperativo,0.6,0.02,48,0.4994221159234428,0.00444249901304991,11,0.00262534914739173
cooperativo,0.6,0.02,49,0.4982413088390288,0.004720696767884334,11,0.0027897535144642683
cooperativo,0.6,0.02,50,0.49936429355358203,0.0049317503330416615,11,0.0029144782011129608
cooperativo,0.6,0.02,51,0.5008721941981628,0.006747385912679406,11,0.003987450261877376
cooperativo,0.6,0.02,52,0.5000152284081189,0.0055941378530485,11,0.003305924210618993
cooperativo,0.6,0.02,53,0.4984251844882602,0.005761845408606702,11,0.0034050330425405124
cooperativo,0.6,0.02,54,0.5000583934949944,0.00662405210095143,11,0.00391456463680161
cooperativo,0.6,0.02,55,0.5014519497986101,0.007089055153198233,11,0.004189363880012378
cooperativo,0.6,0.02,56,0.5015204931959489,0.004829845333470064,11,0.0028542561947705047
cooperativo,0.6,0.02,57,0.49965338330254633,0.005761035565830667,11,0.0034045544560432866
cooperativo,0.6,0.02,58,0.4994033295007835,0.0056562067963181785,11,0.0033426046120808464
cooperativo,0.6,0.02,59,0.5012801771861104,0.006285384403688993,11,0.0037144248173789714
cooperativo,0.6,0.02,60,0.5004238351906356,0.006005521168649699,11,0.0035490362144015943
cooperativo,0.6,0.02,61,0.4992283745119304,0.007027748675819858,11,0.004153134067098045
cooperativo,0.6,0.02,62,0.5015551939832898,0.006101137461119003,11,0.0036055418323372767
cooperativo,0.6,0.02,63,0.5000940265933692,0.005377981877674539,11,0.0031781841922228927
cooperativo,0.6,0.02,64,0.4993451180877031,0.005073108899353089,11,0.0029980157754494023
cooperativo,0.6,0.02,65,0.49920035613320013,0.005668276848682509,11,0.003349737557207133
cooperativo,0.6,0.02,66,0.5005519775966873,0.005709318799109432,11,0.0033739917999754715
