run_id,seed,final_mean_cooperation,final_std_cooperation_between_communities,final_mean_payoff,expected_global_cooperation,observed_global_cooperation,num_intercommunity_edges,corr_size_cooperation,corr_degree_cooperation,intercommunity_mutual_coop_rate,mean_external_payoff,corr_climate_cooperation,std_climate,avg_degree,channel,b,Tin,social_adaptation_rate,epsilon_perception,epsilon_execution,delta_D,delta_pi,rho,num_epochs,rounds_per_epoch,het_b_lo,het_b_hi,spread,eta_s,rho_s
20,2001000,0.1874367716526446,0.0479167323667113,2.3470256250839787,0.3241937035444022,0.35,156,-0.015807550738878,0.0591135377424162,0.1089743589743589,1.435,0.129547371982002,0.3001842658960094,3.12,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
14,1401000,0.1842309453957808,0.0512284859555084,2.324505223819066,0.237787078872947,0.24,152,-0.0168382855400297,-0.1276332396565449,0.0657894736842105,1.025,-0.0546306257477854,0.2866986356950257,3.04,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.25,10,120,1.5,3.5,1.0,0.1,0.25
5,501000,0.18665790753294118,0.0553504982127883,2.352182736227102,0.27905482406532556,0.24,157,-0.050618879652515276,0.20554503842724506,0.044585987261146494,1.055,0.1330065477296513,0.25473962233406466,3.14,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
8,801000,0.18610254566056533,0.052769496330563825,2.323168581962882,0.2723116463308109,0.26,151,-0.07271645235992125,-0.08735112504936426,0.0728476821192053,1.09,-0.05459940765519966,0.2768142417215744,3.02,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
0,1000,0.19069324080928854,0.04730280316271936,2.3860770093329737,0.2775603808085978,0.25,156,0.059510381960691174,-0.13458361757592763,0.057692307692307696,1.245,0.16028557348838848,0.26444828416662997,3.12,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
9,901000,0.17933946876095444,0.047148204010328126,2.2784891014870716,0.24209198786685157,0.24,146,0.0006246652880129154,-0.005097149881889124,0.0684931506849315,1.055,-0.10985858024201604,0.2836940640544279,2.92,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
1,101000,0.19391209767987921,0.053219939693016034,2.4461410664573764,0.3062033793064886,0.31,164,0.048193117233612054,0.137332829287412,0.10365853658536585,1.3,0.049704489465799064,0.2763379336510924,3.28,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
3,301000,0.184841414867832,0.046556662498039865,2.3456239585344103,0.2719391400729365,0.34,164,0.07612257316924975,-0.26300315375802147,0.11585365853658537,1.595,-0.26380190017537997,0.28905509757657905,3.28,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
7,701000,0.1799912845193095,0.0501395131790718,2.289677866802998,0.2636583496984407,0.32,137,0.25706142227510087,-0.14426221022257577,0.072992700729927,1.01,-0.13185961939464763,0.2916813985580334,2.74,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
4,401000,0.19065768863968938,0.04912304851785036,2.407156232725896,0.3126290406532903,0.39,155,0.1466326491219008,0.02682501130636317,0.1032258064516129,1.535,-0.25319887003523966,0.3207386526430861,3.1,social,2.5,800,0.1,0.02,0.01,0.05,0.1,0.5,10,120,1.5,3.5,1.0,0.1,0.5
